"Grafico1"
"Tempo (sec)","Spostamento angolare1 (deg)"
8.71999999999999,56.8560779758159
8.75999999999999,56.7296899937685
8.79999999999999,56.6112365368234
8.83999999999999,56.4688743418111
8.87999999999999,56.2732966123923
8.91999999999999,56.0016480148232
8.95999999999998,55.6405175603226
8.99999999999998,55.1881655272286
9.03999999999998,54.6551182806334
9.07999999999998,54.0635857624788
9.11999999999998,53.4450098635049
9.15999999999998,52.8363461531445
9.19999999999998,52.2749537918725
9.23999999999998,51.7929135240438
9.27999999999998,51.4116109726898
9.31999999999998,51.1377007386024
9.35999999999998,50.9612642516799
9.39999999999998,50.8568020303284
9.43999999999997,50.7869900481995
9.47999999999997,50.7084620843575
9.51999999999997,50.5786700788527
9.55999999999997,50.3626581068171
9.59999999999997,50.0387541085603
9.63999999999997,49.60246621378
9.67999999999997,49.0679694849438
9.71999999999997,48.4668774006609
9.75999999999997,47.8440236409217
9.79999999999997,47.8285182699023
9.83999999999997,48.3168631353645
9.87999999999997,48.6370992844412
9.91999999999996,48.6736084976154
9.95999999999996,48.3584742767104
10,47.6845487254401
